cSMILES,TTR binding activity
CC1=CC[C@H]2C[C@@H]1C2(C)C,11.6954333
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,13.58586716
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,88.58071115
Cl/C=C/Cl,3.066264674
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,99.77857893
Fc1ccc(Br)cc1,12.76293436
CCCCCCCCCCCCCCCO,-12.10962915
OCCN1CCNCC1,6.568734364
CN(C)N,17.1907829
C[N+]1(C)CCCCC1,27.50852547
ClCC(Cl)CCl,10.70079458
NCc1cccc(CN)c1,-4.52199394
OC(CCl)CCl,1.731827396
CC(C)c1cccc(C(C)C)c1,21.53852357
O=C(NCO)NCO,13.3282559
CCCCC(CC)COCCO,27.39115415
CC(C=O)Cc1ccc(C(C)(C)C)cc1,78.93843029
O=[N+]([O-])C(CO)(CO)CO,11.44086022
N#CSCSc1nc2ccccc2s1,96.1798647
C=CC(=O)NC(C)(C)CS(=O)(=O)O,1.340730467
COc1ccccc1N,52.25730398
O=C(CCl)Nc1ccccc1,27.63407157
CCOCCO,-23.54424203
CCCCC(C=O)CC,5.541245624
CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1,45.81324631
O=C(O)CF,23.34705993
CCCCCCCCC(CO)CCCCCC,27.78831504
CC(C)(O)C#N,17.39541759
CC(C)c1ccccc1O,85.84807142
COc1cc([N+](=O)[O-])ccc1N,98.78113243
O=C1OC(=O)C2C3C=CC(C3)C12,5.296084208
CC(C)(C)c1ccccc1O,68.2942369
CC(C)(CO)CO,13.95437747
c1ccc2occc2c1,24.42513756
CCCCOC(=O)COc1ccc(Cl)cc1Cl,80.36463566
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,95.10694813
Cc1ccc(C)c(S(=O)(=O)O)c1,41.54081266
Cc1ccc(C)c(O)c1,75.15746097
CC(C)CCCC(C)(C)O,12.51616822
Cc1cccc(C)c1N,43.11033884
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],62.33371891
OCC(O)CCl,13.82537201
Cc1ccc(N)cc1Cl,77.07181467
Cc1cccc(N)c1,22.97129385
Cc1cccnc1,21.72913313
OCC=Cc1ccccc1,23.72947381
CC(=O)OCCC(C)CC(C)(C)C,10.05837449
O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2,-2.65643261
CCCCOc1ccc(N)cc1,61.68164509
Nc1ccc(Cl)cc1,47.91314244
OC1CCC(C2CCCCC2)CC1,82.66215692
CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,4.826103947
COc1ccc(O)cc1,21.41267072
CN1CCOCC1,19.68054397
NCCCN1CCOCC1,7.328752215
CCCc1ccc(N)cc1,35.16247601
c1cc(-c2ccncc2)ccn1,36.58913468
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,32.24124406
CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N,43.36185941
Cn1sc(Cl)cc1=O,11.55946256
Nc1nc2nc[nH]c2c(=S)[nH]1,11.88592199
C=CC#N,79.83144095
C=CCN=C=S,11.238935
CC1=CCC2CC1C2(C)C,14.6862403
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,11.27842345
O=C[C@H](O)[C@@H](O)[C@@H](O)CO,10.02933917
O=C(NC(=O)c1cc(F)c(F)cc1Cl)Nc1cc(F)ccc1N1CCC(C(=O)O)CC1,21.4705986
CC1COc2ccccc2N1C(=O)C(Cl)Cl,31.68089716
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,100.6343086
O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,102.2260995
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,61.37356636
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],73.41149411
CCCCOC(=O)[C@H](C)O,4.72227726
CCCCOC(=O)C(C)O,-11.80964179
CCCC[Sn](Cl)(Cl)Cl,6.38855459
COc1ccc(N=Nc2cc(C)c(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc2OC)cc1,111.1218796
O=S(=O)([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)cc1,110.3122556
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-3.242788835
CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)cc1)[C@@H](O)C(C)(C)O2,12.45714286
COc1cc(Cl)c(OC)cc1Cl,86.96613872
CC(C)=CCCC(C)=CC#N,50.73414839
Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,60.08369805
O=C(O)c1nc(Cl)ccc1Cl,20.81649372
O=c1ccc2ccccc2o1,19.72643528
NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21,104.9348849
COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,5.164777908
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,35.03390378
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCc4cc(C)no4)ncnc32)[C@H](O)[C@@H]1N,5.832623947
CC(C)(OO)c1ccccc1,44.22230313
N#CN,3.603488484
N#CNC(=N)N,10.84854327
Oc1nc(O)nc(O)n1,8.176918199
OC1CCCCC1,5.818678081
OC1CCCC1,9.231420707
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,44.1124534
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,8.734220403
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,3.526002745
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-10.73015873
O=C[C@H](O)[C@@H](O)[C@H](O)CO,-0.343225203
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,60.44092833
N#CC(Br)Br,-2.603174603
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,92.68395403
OC(=O)C(Cl)Cl,10.35384463
COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,8.167667941
CCOC(=O)CC(=O)OCC,8.336183576
COCCOCCOC,7.092547596
COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,32.11592903
CO[PH](=O)OC,11.10342729
CNC,2.714483852
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,14.46575501
CN(C)C(=O)C(c1ccccc1)c1ccccc1,8.21650457
c1ccc([Hg]c2ccccc2)cc1,0.52557329
C=C[Si](C)(C)O[Si](C)(C)C=C,10.80857354
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,15.86082522
CCCCCCCCCCCC(O)=O,98.94099567
O=C(OCC1CCC2OC2C1)C1CCC2OC2C1,4.024137931
CN(C(=O)Cc1cccc2occc12)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,5.575556759
CCCN(CCC)C(=O)SCC,24.28323896
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,96.31702473
CCCSP(=O)(OCC)SCCC,24.58492627
CCOC(=O)c1ccc(C)cc1,6.593028457
CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1,75.03377386
CCCC(=O)OCC,-0.643918878
CCOC(=O)C1OC1(C)c1ccccc1,36.90752906
[Fe+3],9.537897999
CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,66.56265898
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,80.36824275
CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,65.07854202
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,61.22151526
Cc1nn(C)c(Oc2ccccc2)c1C=NOCc1ccc(C(=O)OC(C)(C)C)cc1,26.57892215
COc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2OC(F)(F)F)c(=O)n1C,90.00580897
CNC(=O)Oc1cccc(N=CN(C)C)c1,13.87244071
O=CCCCC=O,0.307490223
C[Si](C)(C)N[Si](C)(C)C,5.376452754
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,40.52732361
COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,4.781540142
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,-20.94502348
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,99.24209985
CC(C)CCOC(=O)c1ccccc1,34.52204268
CC1=CC(=O)CC(C)(C)C1,26.14797136
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],82.15626066
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,68.1409764
OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,5.197498856
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,79.44753242
C=C(C)C1CC=C(C)CC1,5.712964798
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,23.25688708
CC1CCC(C(C)C)C(O)C1,14.39590596
CNC(=S)[S-],28.72365223
CNC(=S)S,36.55879628
COC(=O)c1ccccc1C,15.10844513
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,85.21879589
N#CSCSC#N,32.23201175
COC(=O)C=C(C)OP(=O)(OC)OC,13.65691376
O=C(O)c1ccccc1C(=O)OCc1ccccc1,70.69078615
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,38.31732968
O=C1c2ccccc2C(=O)N1SC1CCCCC1,59.83259912
CCCCNS(=O)(=O)c1ccc(C)cc1,18.45559151
CCNc1cccc(C)c1,13.29528335
O=NN1CCCC1,8.039673978
CCCC[N+](C)(CCCC)CCCC,12.15457387
CC(=O)N(C)C,18.58873578
CN(C)c1ccccc1,26.00625244
NC(=O)c1cccnc1,0.420542883
CO[C@@H]1[C@H](OC(=O)NC(=O)CCl)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,-19.68082884
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,4.638518977
COc1ccc(N)cc1,19.36512646
Cc1ccc(O)cc1,20.40143369
CCCCN(CC)C(=O)SCCC,2.28283676
Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2,89.9090277
O=C([N-]S(=O)(=O)/C=C/c1ccccc1)c1ccc(F)cc1Cl,92.73029214
CCCCC(CC)C(=O)[O-],22.60326922
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,102.5733648
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],106.5983528
CC(C)N(C(=O)CCl)c1ccccc1,13.39382036
CCCOc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C,52.288918
Cc1ncc(CO)c(CO)c1O,-2.283661556
O=C1NS(=O)(=O)C2=C1C=CC=C2,40.89736016
C=CCc1ccc2c(c1)OCO2,26.10752688
CCNc1nc(Cl)nc(NCC)n1,0.686404478
O=[N+]([O-])c1ccc([O-])cc1,97.1758665
CCCCCCCCCOS(=O)(=O)[O-],94.58724751
O=C1[N-]S(=O)(=O)C2=CC=CC=C12,37.2942923
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,55.54733467
Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,51.05135721
c1ccc(C2CO2)cc1,18.24331466
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,109.3334172
Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,79.39662771
CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C,46.68704712
Cc1c(F)c(F)c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,23.83603647
O=C(O)CS,9.517613766
NC(N)=S,23.12943292
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,46.64050726
CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,51.77982751
CCO[Si](C)(OCC)OCC,25.7819104
COCCOCCOCCOC,1.544071021
O=C(O)c1ccc2c(c1)C(=O)OC2=O,5.072413793
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,34.43591963
CCCC(CCC)C(=O)O,5.521064942
CCCSC(=O)N(CCC)CCC,10.38817246
Cc1occc1C(=O)Nc1ccc(C(=O)N2CCC(F)(F)/C(=C\C(=O)N3CCC(N4CCCCC4)CC3)c3ccccc32)cc1,-3.819957328
