cSMILES,activity
C=C1CC[C@H]2C[C@@H]1C2(C)C,12.3
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,94.1
CCCCCCCCCCCCCC(=O)OCC(O)CO,38.1
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,11.8
CCCCCCCCCC=CCC1CC(=O)OC1=O,98.4
CCC/C=C/C=O,52.2
Cc1cc(C)n(CO)n1,32.8
CC/C=C\CCOC(C)=O,14.0
CCCCC/C=C\CCC=O,69.6
C/C=C/C=C/CCCCCCCO,61.9
CC(C)=CCC[C@H](C)CCO,38.8
CC/C=C\CCO,19.0
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,94.3
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,28.0
CC1(C)C(=O)NC(=O)N1CO,3.9
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,101.7
CCO[Si](CCCNC(N)=O)(OCC)OCC,-29.5
CC(O)CN,5.5
CC1(C)C(=O)N(Cl)C(=O)N1Br,33.5
FC(F)(F)c1ccc(Cl)cc1,8.9
O=[N+]([O-])c1ccc(Cl)cc1,28.0
CCCCCCCCCCN,10.1
CCCCCCCCCCO,69.5
CCCCCCCCCCCCS,5.1
CCCCCCCCCCCCO,71.3
CCCCCCCCCCCCN1CCCC1=O,29.7
CCOCC(C)O,3.0
CCCCCCCCCCCCCCCCO,-22.4
CCCCCCO,10.5
COCC(C)O,7.9
CCC(C)(C)C1CCC(OC)CC1,34.2
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,23.8
Cc1cccc2ccccc12,24.8
CCCCCCCCCCCC(=O)OCC(O)CO,52.4
O=C(O)Cc1cccc2ccccc12,63.0
Oc1cccc2ccccc12,90.3
CCCCCCCCO,35.1
C=CC(O)CCCCC,14.7
CCCCCCCCN1CCCC1=O,19.5
CC(O)COc1ccccc1,9.9
O=C1C=CC(=O)N1c1ccccc1,55.0
NC(=O)Nc1ccccc1,11.8
CCCOCC(C)O,6.4
C=CCCCCCCCCCCCC,9.6
CCCCCCCCCCCCCO,46.3
Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C,41.1
C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,10.6
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,3.3
c1cnc2c(c1)ccc1cccnc12,46.1
O=Cc1ccccc1C=O,98.0
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-5.7
CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OC[C@H](CCC)[C@@H](CC)CCC,6.1
Oc1ccccc1O,34.4
BrCCBr,13.4
FC(F)(F)c1ccc(Cl)c(Cl)c1,8.3
Clc1ccccc1Cl,20.8
Cc1cccc([N+](=O)[O-])c1C,56.0
O=[N+]([O-])c1ccccc1[N+](=O)[O-],60.9
c1ccc(OCCOc2ccccc2)cc1,23.4
O=C(Cc1ccccc1)c1ccccc1,63.1
NCCN,13.4
CCCCOC(O)CC,10.2
CC(O)CO,-6.8
O=C1NC(=O)C2CC=CCC12,5.3
Clc1ccc(Cl)c(Cl)c1,7.5
Cc1ccc(C)c(C)c1,17.8
Clc1cc(Cl)c(Cl)cc1Cl,1.5
Cc1cc(C)c(C)cc1C,14.1
O=C(Cl)c1cccc(C(=O)Cl)c1,36.8
CC(O)CCO,-5.8
C1=CCC=C1,10.9
Clc1cc(Cl)c2c(c1)N=C1CCCCCN1C2,8.2
Clc1cccc(Cl)c1,6.5
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,11.1
O=C(CC(=O)c1ccccc1)c1ccccc1,71.3
CCN1CN(CC)CN(CC)C1,0.2
CC(C)c1cc(C(C)C)cc(C(C)C)c1,-31.8
C=C[Si]1(C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O1,99.7
Nc1ccc(N)cc1,108.1
O=C(O)C1CCC(C(=O)O)CC1,20.8
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,69.5
Clc1ccc(Cl)cc1,-12.7
Cc1ccc(C)c2ccccc12,55.0
C1=C/CC/C=C/CC/C=C/CC/1,10.5
NCCCCCCN,-5.1
CC12CCC(CC1)C(C)(C)O2,12.9
OC(=O)CCCCCCCCC=C,92.6
CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,29.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,46.8
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,87.9
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,13.9
C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O,55.8
CCCCOCCOCCO,8.7
Cc1cc(Cl)ccc1OCC(=O)O,79.4
CCNCCO,5.4
CC(Oc1cccc(Cl)c1)C(=O)O,38.8
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,56.8
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.4
CCOCCOCCOCCO,6.6
COCCOCCOCCO,6.1
O=C(CBr)c1ccc(O)cc1,104.3
CCC(C)=NO,-0.8
CCCCOCCOC(C)=O,8.3
OCC#CCO,11.1
Oc1ccc(-c2ccccc2)cc1Cl,105.7
O=CCCl,8.7
O=C(CCl)c1ccccc1,26.0
OCCCl,10.2
CCCCC(CC)CO,8.6
CCCC(O)C(CC)CO,5.3
CCCC=C(C=O)CC,23.2
CCc1cccc(C)c1N,30.3
CCCCC(CC)C(=O)O,-8.2
CCCCC(CC)COC(C)=O,10.1
