SMILES,TTR binding activity,cSMILES
CC1=CC[C@H]2C[C@@H]1C2(C)C,11.6954333,CC1=CC[C@H]2C[C@@H]1C2(C)C
CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O,13.58586716,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(O)=O,88.58071115,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O
Cl/C=C/Cl,3.066264674,Cl/C=C/Cl
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,99.77857893,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
FC1=CC=C(Br)C=C1,12.76293436,Fc1ccc(Br)cc1
CCCCCCCCCCCCCCCO,-12.10962915,CCCCCCCCCCCCCCCO
OCCN1CCNCC1,6.568734364,OCCN1CCNCC1
CN(C)N,17.1907829,CN(C)N
[Cl-].C[N+]1(C)CCCCC1,27.50852547,C[N+]1(C)CCCCC1
ClCC(Cl)CCl,10.70079458,ClCC(Cl)CCl
NCC1=CC(CN)=CC=C1,-4.52199394,NCc1cccc(CN)c1
OC(CCl)CCl,1.731827396,OC(CCl)CCl
CC(C)C1=CC(=CC=C1)C(C)C,21.53852357,CC(C)c1cccc(C(C)C)c1
OCNC(=O)NCO,13.3282559,O=C(NCO)NCO
CCCCC(CC)COCCO,27.39115415,CCCCC(CC)COCCO
O=CC(CC1=CC=C(C(C)(C)C)C=C1)C,78.93843029,CC(C=O)Cc1ccc(C(C)(C)C)cc1
OCC(CO)(CO)[N+]([O-])=O,11.44086022,O=[N+]([O-])C(CO)(CO)CO
S1C=2C(N=C1SC(SC#N)([H])[H])=C(C(=C(C2[H])[H])[H])[H],96.1798647,N#CSCSc1nc2ccccc2s1
CC(C)(CS(O)(=O)=O)NC(=O)C=C,1.340730467,C=CC(=O)NC(C)(C)CS(=O)(=O)O
COC1=CC=CC=C1N,52.25730398,COc1ccccc1N
ClCC(=O)NC1=CC=CC=C1,27.63407157,O=C(CCl)Nc1ccccc1
CCOCCO,-23.54424203,CCOCCO
CCCCC(CC)C=O,5.541245624,CCCCC(C=O)CC
CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,45.81324631,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1
OC(=O)CF,23.34705993,O=C(O)CF
CCCCCCCCC(CO)CCCCCC,27.78831504,CCCCCCCCC(CO)CCCCCC
CC(C)(O)C#N,17.39541759,CC(C)(O)C#N
CC(C)C1=C(O)C=CC=C1,85.84807142,CC(C)c1ccccc1O
COC1=CC(=CC=C1N)[N+]([O-])=O,98.78113243,COc1cc([N+](=O)[O-])ccc1N
O=C1OC(=O)C2C3CC(C=C3)C12,5.296084208,O=C1OC(=O)C2C3C=CC(C3)C12
CC(C)(C)C1=C(O)C=CC=C1,68.2942369,CC(C)(C)c1ccccc1O
CC(C)(CO)CO,13.95437747,CC(C)(CO)CO
O1C=CC2=C1C=CC=C2,24.42513756,c1ccc2occc2c1
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,80.36463566,CCCCOC(=O)COc1ccc(Cl)cc1Cl
CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,95.10694813,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
CC1=CC=C(C)C(=C1)S(O)(=O)=O,41.54081266,Cc1ccc(C)c(S(=O)(=O)O)c1
CC1=CC(O)=C(C)C=C1,75.15746097,Cc1ccc(C)c(O)c1
CC(C)CCCC(C)(C)O,12.51616822,CC(C)CCCC(C)(C)O
CC1=CC=CC(C)=C1N,43.11033884,Cc1cccc(C)c1N
CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,62.33371891,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
OCC(O)CCl,13.82537201,OCC(O)CCl
CC1=C(Cl)C=C(N)C=C1,77.07181467,Cc1ccc(N)cc1Cl
CC1=CC(N)=CC=C1,22.97129385,Cc1cccc(N)c1
CC1=CC=CN=C1,21.72913313,Cc1cccnc1
OCC=CC1=CC=CC=C1,23.72947381,OCC=Cc1ccccc1
CC(CCOC(C)=O)CC(C)(C)C,10.05837449,CC(=O)OCCC(C)CC(C)(C)C
BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,-2.65643261,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2
CCCCOC1=CC=C(N)C=C1,61.68164509,CCCCOc1ccc(N)cc1
NC1=CC=C(Cl)C=C1,47.91314244,Nc1ccc(Cl)cc1
OC1CCC(CC1)C2CCCCC2,82.66215692,OC1CCC(C2CCCCC2)CC1
