cSMILES,activity,F_1_M_0,F_1_M_1,F_1_M_2,F_1_M_3,F_1_M_4,F_2_M_0,F_2_M_1,F_2_M_2,F_2_M_3,F_2_M_4,F_3_M_0,F_3_M_1,F_3_M_2,F_3_M_3,F_3_M_4,F_4_M_0,F_4_M_1,F_4_M_2,F_4_M_3,F_4_M_4,emb
C=C1CC[C@H]2C[C@@H]1C2(C)C,12.3,10.612391519892215,9.565309400744155,14.717030187256182,14.238558360264909,8.488989861623281,11.862576172036782,9.68075109549538,14.17409395757775,9.97160267873841,9.61217515322324,13.574807178307571,11.614426931659356,8.06958228743477,6.009840839890728,14.6484769035381,5.592969209258214,5.212595936759662,3.0549242051625214,9.815841088783008,8.795903422884635,9.965642319526545
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,94.1,73.2589848983034,77.21880216685639,76.65031922302931,80.26188052738074,82.91795829221957,72.57605187284562,73.8559182897938,68.42255052007441,68.48493536828406,63.68701058677321,74.2844066446682,68.3587170405048,81.82757872625197,81.56055303584222,83.63993562551006,82.39397266412124,92.53529918787648,75.99525314008588,73.9318315421092,89.01193534198873,77.04369473472596
CCCCCCCCCCCCCC(=O)OCC(O)CO,38.1,51.65092211898525,58.4019501976562,59.18657399625377,64.28486666930016,61.849033449373685,60.682375909160086,34.50723087869652,52.947701006585454,39.33827441585561,43.22763626229776,46.56247866219554,44.979599226732674,39.79251293036707,44.53475027010154,56.22440496537748,63.656825299906174,58.99986143247395,54.79986560945247,62.54374367169832,62.44685174071169,53.03087293565907
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,11.8,4.681893979645011,3.665856309355142,11.278640654702285,6.724534840269008,7.607322244464697,8.388872527851298,6.750496105095195,8.07375427952023,-0.1383370713975082,3.3448880037124766,8.570135413134004,3.726706067226481,1.507160533664127,3.798057043671342,8.447076794949254,6.362818893455504,8.978246003161196,5.101154599588895,3.7213772372720726,11.295134827745784,6.0942894643543255
CCCCCCCCCC=CCC1CC(=O)OC1=O,98.4,62.22062709282511,60.6813173314162,66.85149760214345,64.19166306157817,63.641456798725386,70.5875594512262,51.11598219108029,69.02776296509768,64.30941354253835,59.4355250539426,65.0651926277669,67.34344013700249,55.87721412221813,86.90444341903981,84.06988763752469,83.34835991951016,94.35943207269575,73.81968746081145,82.1744258554194,94.8968881782406,70.99608882604014
CCC/C=C/C=O,52.2,30.73179623811333,27.41003142764384,30.09993554364677,24.816423507680085,30.43857341546392,36.07843144231869,24.146193683388933,31.502252131193167,31.045993817137404,30.53310138275424,24.449161254229647,30.458960464668067,24.998015846820657,25.85265438716935,25.84253562506828,36.86659625326767,48.62067554241211,29.22660665555027,33.16089796071595,38.42102315396192,30.73499298666021
Cc1cc(C)n(CO)n1,32.8,24.89150961983992,18.212342227529756,22.325019209291472,20.477875600059747,19.381946613824333,20.379894302931973,21.745869078822835,14.890585962569553,19.523212211346344,19.578983992986604,23.417971692883672,17.19344752698194,25.6798921464344,23.20327743355675,25.8740364387424,23.584494209949344,31.85071829452867,19.10834380362853,22.221686816920656,33.33251122151704,22.343680920217302
CC/C=C\CCOC(C)=O,14.0,15.948835449970844,15.350241213149836,18.91703079696464,19.60979912360646,20.218201377476024,14.876615426649424,22.30796242552757,20.118195610010503,16.72482687528892,20.2955344249409,17.17433698950135,14.75372079971392,13.171269191651913,17.664920448619096,17.538904038435568,12.601601228669608,17.19483010792038,16.247552714408556,17.89545081975845,19.507810460539577,17.40588197614018
CCCCC/C=C\CCC=O,69.6,34.631505643958235,32.861086658800936,37.49227691123159,29.56624943308262,39.47706869525423,67.50334725069999,35.84653699215248,53.10251839143704,48.355383952023686,51.43697126716094,43.6034571735296,50.85942304761189,48.93480489614234,63.96784521847799,69.7881199051343,61.1276947351988,72.78766433110002,58.106181292423145,62.58137301694113,71.76593076354385,51.68977197879525
C/C=C/C=C/CCCCCCCO,61.9,59.836558773265054,50.07709931347918,51.27349460463658,51.23837720488852,56.86791221796513,56.0944549425354,29.579401319951884,57.393874916264,46.68280665758486,45.66413418952106,42.1228882347093,44.11131186859868,50.076784487734486,57.83703635695849,51.52748608585255,62.9851884453786,65.73810397318313,51.06126360056725,58.98950680141803,67.49501634570974,52.83263501701009
