SMILES,TTR binding activity
CC1=CC[C@H]2C[C@@H]1C2(C)C,11.6954333
CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O,13.58586716
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(O)=O,88.58071115
Cl/C=C/Cl,3.066264674
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,99.77857893
FC1=CC=C(Br)C=C1,12.76293436
CCCCCCCCCCCCCCCO,-12.10962915
OCCN1CCNCC1,6.568734364
CN(C)N,17.1907829
[Cl-].C[N+]1(C)CCCCC1,27.50852547
ClCC(Cl)CCl,10.70079458
NCC1=CC(CN)=CC=C1,-4.52199394
OC(CCl)CCl,1.731827396
CC(C)C1=CC(=CC=C1)C(C)C,21.53852357
OCNC(=O)NCO,13.3282559
CCCCC(CC)COCCO,27.39115415
O=CC(CC1=CC=C(C(C)(C)C)C=C1)C,78.93843029
OCC(CO)(CO)[N+]([O-])=O,11.44086022
S1C=2C(N=C1SC(SC#N)([H])[H])=C(C(=C(C2[H])[H])[H])[H],96.1798647
CC(C)(CS(O)(=O)=O)NC(=O)C=C,1.340730467
COC1=CC=CC=C1N,52.25730398
ClCC(=O)NC1=CC=CC=C1,27.63407157
CCOCCO,-23.54424203
CCCCC(CC)C=O,5.541245624
CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,45.81324631
OC(=O)CF,23.34705993
CCCCCCCCC(CO)CCCCCC,27.78831504
CC(C)(O)C#N,17.39541759
CC(C)C1=C(O)C=CC=C1,85.84807142
COC1=CC(=CC=C1N)[N+]([O-])=O,98.78113243
O=C1OC(=O)C2C3CC(C=C3)C12,5.296084208
CC(C)(C)C1=C(O)C=CC=C1,68.2942369
CC(C)(CO)CO,13.95437747
O1C=CC2=C1C=CC=C2,24.42513756
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,80.36463566
CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,95.10694813
CC1=CC=C(C)C(=C1)S(O)(=O)=O,41.54081266
CC1=CC(O)=C(C)C=C1,75.15746097
CC(C)CCCC(C)(C)O,12.51616822
CC1=CC=CC(C)=C1N,43.11033884
CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,62.33371891
OCC(O)CCl,13.82537201
CC1=C(Cl)C=C(N)C=C1,77.07181467
CC1=CC(N)=CC=C1,22.97129385
CC1=CC=CN=C1,21.72913313
OCC=CC1=CC=CC=C1,23.72947381
CC(CCOC(C)=O)CC(C)(C)C,10.05837449
BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,-2.65643261
CCCCOC1=CC=C(N)C=C1,61.68164509
NC1=CC=C(Cl)C=C1,47.91314244
OC1CCC(CC1)C2CCCCC2,82.66215692
CCC(=C(C1=CC=C(O)C=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3,4.826103947
COC1=CC=C(O)C=C1,21.41267072
CN1CCOCC1,19.68054397
NCCCN1CCOCC1,7.328752215
CCCC1=CC=C(N)C=C1,35.16247601
C1=CC(=CC=N1)C2=CC=NC=C2,36.58913468
ClC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(Cl)C=C2,32.24124406
CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,43.36185941
CN1SC(Cl)=CC1=O,11.55946256
