cSMILES,activity,F_1_M_0,F_1_M_1,F_1_M_2,F_1_M_3,F_1_M_4,F_2_M_0,F_2_M_1,F_2_M_2,F_2_M_3,F_2_M_4,F_3_M_0,F_3_M_1,F_3_M_2,F_3_M_3,F_3_M_4,F_4_M_0,F_4_M_1,F_4_M_2,F_4_M_3,F_4_M_4,emb
C=C1CC[C@H]2C[C@@H]1C2(C)C,12.3,9.798723186352294,8.326045563620774,14.868541807707375,15.412540666508184,13.254159562151711,9.994565044728413,6.282361206071052,8.535248673492159,16.989607086525467,7.802221909099131,11.42273206493556,6.018749303830141,11.091038882150762,16.04363803885279,10.723187023045115,8.201157742694132,0.5687736476690688,7.254263648658359,7.557102594405052,14.573035034540627,10.23588463435191
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,94.1,83.61373515586354,83.49587499932989,84.41803325824168,84.99050541597248,76.13635990338815,80.77353787135746,78.59084896881691,86.88016096378531,77.46409851319306,90.04855542982632,75.59702523925404,84.70761847301942,77.66008648822157,71.16380984242429,75.30352033146097,79.83604523546299,78.79532961851945,72.34548148939655,70.29515735966424,90.2168142351839,80.11662993961912
CCCCCCCCCCCCCC(=O)OCC(O)CO,38.1,54.79012348153805,57.72231922055576,54.52374676005097,62.15310913442418,60.214373398050746,56.13807243027298,49.744310439025824,53.04488381796957,58.4484831258855,56.98028468861496,62.79856952055125,56.92720179052122,53.34915800866707,57.27479313789482,53.99732023420646,51.059859754975136,53.53280933691168,50.35075159722764,46.3203882491881,54.57761000580958,55.19740840661707
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,11.8,3.5809199092779664,5.974019978681483,10.294345619901492,7.005331577012633,6.108540089590562,1.997968710638986,-5.295977053014831,5.229983307238584,1.8125714008732032,-2.5321209067834616,4.999075921581458,5.010126914344518,6.341100742732543,6.070181570148804,2.2878137470998965,3.067363290132328,-2.3200399948800694,6.6159138921359855,-0.590940751166265,5.2489563211797545,3.5452567143362783
CCCCCCCCCC=CCC1CC(=O)OC1=O,98.4,85.06971225788192,82.41818967178764,87.47851149997831,74.71259247350966,72.80461242632987,61.12139515237429,54.23904231253562,93.32607425992448,63.28930349054821,85.07616423381623,67.31606916218595,86.27184564865733,63.22143984362707,72.83843514576601,67.77538196139677,52.0142612809647,54.56269133621803,53.98668297826757,51.028614772300685,61.00408826026423,69.47775540841673
CCC/C=C/C=O,52.2,39.63979930977083,33.6799644632806,41.9966649825581,31.62531095067506,26.81634882627321,24.81618295977445,20.438302483137203,23.426954690631792,30.375569115827723,20.58162097825417,21.715164474752456,33.094378172871224,26.63878810042963,24.002197527048036,31.404915729245868,36.83379217815402,31.49917044714453,30.443446379247785,30.43947729488554,30.97489378911999,29.522147142654113
Cc1cc(C)n(CO)n1,32.8,16.19212959908155,16.856147170596138,16.477844720767962,20.1985828101052,11.586291667863671,23.685346453487654,11.953325501487733,17.331110835792774,21.887507755777545,10.492743634245628,15.607399024531697,19.08387579789882,20.455714649525657,14.680465831550446,16.829376524297917,18.334215690363244,10.052697387162365,14.590035776661509,10.815270345763045,11.362105105311048,15.92360931411358
CC/C=C\CCOC(C)=O,14.0,14.794679047023315,15.892391334970714,19.443732938322302,18.80525934914112,12.07064306474135,13.792475136609209,10.619651434547723,16.579221746187102,20.03417384084811,13.277323886254184,11.58050756161346,18.293731965338612,16.86926544817594,19.791107084755787,16.783641754248148,14.839431298069684,11.910635022472768,16.623602856540224,14.876434044971797,17.56521267614838,15.722156074549
CCCCC/C=C\CCC=O,69.6,80.46610334016756,65.95903866801797,73.99093440625327,51.6255466795675,55.08827325326707,44.16634669436123,37.825624000118665,66.16951877715493,48.90710117972392,64.92989251253456,38.14820443672038,57.028683874063866,32.92854824396792,32.197030573015326,40.9859833455377,54.5240757312837,55.24897472042148,54.366095806056656,47.589315261497084,55.892921917311455,52.90191067105211
C/C=C/C=C/CCCCCCCO,61.9,61.28573037691059,55.64891285080965,61.93111305392451,55.05390609248224,49.47633677013857,45.75768111036388,46.74375184453381,67.97351550712402,55.007537283628245,68.69513993801347,42.68021488916493,60.75245456048616,38.18543186390383,36.33154021545787,39.00733592498169,57.75928938118388,56.51979996723358,61.90035635459563,56.0554411454297,57.522540205857325,53.71440146681117
CC(C)=CCC[C@H](C)CCO,38.8,21.69004691733619,30.133663227389185,23.782335849750027,25.345468932823252,25.611928922056155,38.85126655308937,36.04381661653522,57.09591670501406,45.55630905843271,51.33953464656511,29.270678776889035,51.75814507557029,31.561099151966367,34.18107722372695,36.48877364374076,40.0894040331746,34.74919160875994,43.37216179057751,33.74601956453978,44.34492627708561,36.7505882287511
CC/C=C\CCO,19.0,17.450634039279763,16.20199575942614,22.895699824712512,24.2971632415982,15.117546528838744,23.13885487281144,17.085999273818658,21.10815740284489,28.822996413502608,13.905762768034762,12.953092462751734,28.11666380761634,17.816896677602713,21.842934591079917,22.475557701795378,27.836006989647487,12.96006798210071,19.718787509411527,24.277226656546187,19.564414871035854,20.379322968722782
